11A,
Longitud de onda,Absorbancia
3998.71156,-0.00017
3998.00357,-0.00016
3997.29558,-0.00016
3996.5876,-0.00015
3995.87961,-0.00015
3995.17162,-0.00014
3994.46363,-0.00013
3993.75565,-0.00013
3993.04766,-0.00012
3992.33967,-0.00012
3991.63169,-0.00011
3990.9237,-0.00011
3990.21571,-0.00011
3989.50772,-0.0001
3988.79974,-0.0001
3988.09175,-0.0001
3987.38376,-0.0001
3986.67578,-0.0001
3985.96779,-0.0001
3985.2598,-9e-05
3984.55181,-0.0001
3983.84383,-0.0001
3983.13584,-0.0001
3982.42785,-0.0001
3981.71987,-0.0001
3981.01188,-0.0001
3980.30389,-0.0001
3979.5959,-0.00011
3978.88792,-0.00011
3978.17993,-0.00011
3977.47194,-0.00011
3976.76396,-0.00011
3976.05597,-0.00012
3975.34798,-0.00012
3974.63999,-0.00012
3973.93201,-0.00012
3973.22402,-0.00012
3972.51603,-0.00012
3971.80805,-0.00012
3971.10006,-0.00012
3970.39207,-0.00013
3969.68408,-0.00013
3968.9761,-0.00013
3968.26811,-0.00013
3967.56012,-0.00013
3966.85213,-0.00013
3966.14415,-0.00014
3965.43616,-0.00014
3964.72817,-0.00014
3964.02019,-0.00015
3963.3122,-0.00015
3962.60421,-0.00015
3961.89622,-0.00016
3961.18824,-0.00016
3960.48025,-0.00016
3959.77226,-0.00017
3959.06428,-0.00017
3958.35629,-0.00017
3957.6483,-0.00018
3956.94031,-0.00018
3956.23233,-0.00018
3955.52434,-0.00018
3954.81635,-0.00018
3954.10837,-0.00018
3953.40038,-0.00018
3952.69239,-0.00019
3951.9844,-0.00019
3951.27642,-0.00019
3950.56843,-0.00019
3949.86044,-0.00019
3949.15246,-0.0002
3948.44447,-0.0002
3947.73648,-0.00021
3947.02849,-0.00021
3946.32051,-0.00022
3945.61252,-0.00022
3944.90453,-0.00023
3944.19655,-0.00024
3943.48856,-0.00024
3942.78057,-0.00025
3942.07258,-0.00026
3941.3646,-0.00026
3940.65661,-0.00027
3939.94862,-0.00027
3939.24064,-0.00028
3938.53265,-0.00028
3937.82466,-0.00028
3937.11667,-0.00028
3936.40869,-0.00027
3935.7007,-0.00027
3934.99271,-0.00026
3934.28472,-0.00026
3933.57674,-0.00025
3932.86875,-0.00024
3932.16076,-0.00023
3931.45278,-0.00022
3930.74479,-0.00022
3930.0368,-0.00021
3929.32881,-0.0002
3928.62083,-0.00019
3927.91284,-0.00018
3927.20485,-0.00017
3926.49687,-0.00017
3925.78888,-0.00016
3925.08089,-0.00016
3924.3729,-0.00015
3923.66492,-0.00015
3922.95693,-0.00015
3922.24894,-0.00015
3921.54096,-0.00014
3920.83297,-0.00014
3920.12498,-0.00014
3919.41699,-0.00014
3918.70901,-0.00014
3918.00102,-0.00014
3917.29303,-0.00014
3916.58505,-0.00014
3915.87706,-0.00014
3915.16907,-0.00014
3914.46108,-0.00014
3913.7531,-0.00014
3913.04511,-0.00014
3912.33712,-0.00014
3911.62914,-0.00014
3910.92115,-0.00015
3910.21316,-0.00015
3909.50517,-0.00015
3908.79719,-0.00015
3908.0892,-0.00015
3907.38121,-0.00016
3906.67323,-0.00016
3905.96524,-0.00016
3905.25725,-0.00017
3904.54926,-0.00017
3903.84128,-0.00018
3903.13329,-0.00018
3902.4253,-0.00019
3901.71731,-0.00019
3901.00933,-0.00019
3900.30134,-0.0002
3899.59335,-0.0002
3898.88537,-0.00021
