5A,
Longitud de onda,Absorbancia
3998.71156,-0.00194
3998.00357,-0.00194
3997.29558,-0.00195
3996.5876,-0.00196
3995.87961,-0.00196
3995.17162,-0.00197
3994.46363,-0.00198
3993.75565,-0.00198
3993.04766,-0.00199
3992.33967,-0.002
3991.63169,-0.00201
3990.9237,-0.00201
3990.21571,-0.00202
3989.50772,-0.00203
3988.79974,-0.00204
3988.09175,-0.00205
3987.38376,-0.00206
3986.67578,-0.00207
3985.96779,-0.00208
3985.2598,-0.00209
3984.55181,-0.0021
3983.84383,-0.00211
3983.13584,-0.00212
3982.42785,-0.00213
3981.71987,-0.00214
3981.01188,-0.00215
3980.30389,-0.00216
3979.5959,-0.00217
3978.88792,-0.00218
3978.17993,-0.0022
3977.47194,-0.00221
3976.76396,-0.00222
3976.05597,-0.00223
3975.34798,-0.00224
3974.63999,-0.00225
3973.93201,-0.00225
3973.22402,-0.00226
3972.51603,-0.00227
3971.80805,-0.00227
3971.10006,-0.00228
3970.39207,-0.00228
3969.68408,-0.00229
3968.9761,-0.00229
3968.26811,-0.0023
3967.56012,-0.0023
3966.85213,-0.00231
3966.14415,-0.00231
3965.43616,-0.00232
3964.72817,-0.00232
3964.02019,-0.00233
3963.3122,-0.00234
3962.60421,-0.00235
3961.89622,-0.00236
3961.18824,-0.00237
3960.48025,-0.00239
3959.77226,-0.00241
3959.06428,-0.00242
3958.35629,-0.00244
3957.6483,-0.00247
3956.94031,-0.00249
3956.23233,-0.00251
3955.52434,-0.00254
3954.81635,-0.00256
3954.10837,-0.00259
3953.40038,-0.00261
3952.69239,-0.00263
3951.9844,-0.00266
3951.27642,-0.00268
3950.56843,-0.0027
3949.86044,-0.00272
3949.15246,-0.00274
3948.44447,-0.00275
3947.73648,-0.00276
3947.02849,-0.00277
3946.32051,-0.00278
3945.61252,-0.00278
3944.90453,-0.00278
3944.19655,-0.00278
3943.48856,-0.00278
3942.78057,-0.00278
3942.07258,-0.00278
3941.3646,-0.00278
3940.65661,-0.00278
3939.94862,-0.00278
3939.24064,-0.00278
3938.53265,-0.00278
3937.82466,-0.00279
3937.11667,-0.0028
3936.40869,-0.00281
3935.7007,-0.00283
3934.99271,-0.00284
3934.28472,-0.00286
3933.57674,-0.00288
3932.86875,-0.0029
3932.16076,-0.00292
3931.45278,-0.00295
3930.74479,-0.00297
3930.0368,-0.00299
3929.32881,-0.00301
3928.62083,-0.00303
3927.91284,-0.00305
3927.20485,-0.00307
3926.49687,-0.00308
3925.78888,-0.00309
3925.08089,-0.0031
3924.3729,-0.0031
3923.66492,-0.00311
3922.95693,-0.0031
3922.24894,-0.0031
3921.54096,-0.0031
3920.83297,-0.00309
3920.12498,-0.00308
3919.41699,-0.00306
3918.70901,-0.00305
3918.00102,-0.00303
3917.29303,-0.00302
3916.58505,-0.003
3915.87706,-0.00298
3915.16907,-0.00297
3914.46108,-0.00295
3913.7531,-0.00294
3913.04511,-0.00293
3912.33712,-0.00292
3911.62914,-0.00292
3910.92115,-0.00292
3910.21316,-0.00293
3909.50517,-0.00294
3908.79719,-0.00295
3908.0892,-0.00297
3907.38121,-0.003
3906.67323,-0.00303
3905.96524,-0.00306
3905.25725,-0.0031
3904.54926,-0.00314
3903.84128,-0.00319
3903.13329,-0.00323
3902.4253,-0.00328
3901.71731,-0.00333
3901.00933,-0.00337
3900.30134,-0.00341
3899.59335,-0.00345
3898.88537,-0.00348
3898.17738,-0.00351
3897.46939,-0.00354
3896.7614,-0.00356
3896.05342,-0.00357
3895.34543,-0.00359
3894.63744,-0.00359
3893.92946,-0.0036
3893.22147,-0.00361
3892.51348,-0.00361
3891.80549,-0.00361
3891.09751,-0.00361
3890.38952,-0.00362
3889.68153,-0.00362
3888.97355,-0.00362
3888.26556,-0.00362
3887.55757,-0.00363
3886.84958,-0.00363
3886.1416,-0.00364
3885.43361,-0.00364
3884.72562,-0.00364
3884.01764,-0.00364
3883.30965,-0.00364
3882.60166,-0.00364
3881.89367,-0.00364
3881.18569,-0.00364
3880.4777,-0.00364
3879.76971,-0.00363
3879.06173,-0.00363
3878.35374,-0.00362
3877.64575,-0.00362
3876.93776,-0.00361
3876.22978,-0.00361
3875.52179,-0.00361
3874.8138,-0.00361
3874.10582,-0.00361
3873.39783,-0.00361
3872.68984,-0.00362
3871.98185,-0.00363
3871.27387,-0.00364
3870.56588,-0.00365
3869.85789,-0.00367
3869.1499,-0.00369
3868.44192,-0.00371
3867.73393,-0.00373
3867.02594,-0.00374
3866.31796,-0.00376
3865.60997,-0.00378
3864.90198,-0.00379
3864.19399,-0.0038
3863.48601,-0.0038
3862.77802,-0.00381
3862.07003,-0.00381
3861.36205,-0.0038
3860.65406,-0.0038
3859.94607,-0.00379
3859.23808,-0.00378
3858.5301,-0.00376
3857.82211,-0.00375
3857.11412,-0.00374
3856.40614,-0.00373
3855.69815,-0.00372
3854.99016,-0.00371
3854.28217,-0.00371
3853.57419,-0.00371
3852.8662,-0.00372
3852.15821,-0.00373
3851.45023,-0.00374
3850.74224,-0.00375
3850.03425,-0.00376
3849.32626,-0.00377
3848.61828,-0.00379
3847.91029,-0.0038
3847.2023,-0.0038
3846.49432,-0.00381
3845.78633,-0.00382
3845.07834,-0.00382
3844.37035,-0.00383
3843.66237,-0.00384
3842.95438,-0.00384
3842.24639,-0.00385
3841.53841,-0.00386
3840.83042,-0.00386
3840.12243,-0.00387
3839.41444,-0.00388
3838.70646,-0.00389
3837.99847,-0.0039
3837.29048,-0.0039
3836.58249,-0.00391
3835.87451,-0.00391
3835.16652,-0.0039
3834.45853,-0.0039
3833.75055,-0.00389
3833.04256,-0.00387
3832.33457,-0.00385
3831.62658,-0.00383
3830.9186,-0.00381
3830.21061,-0.00378
3829.50262,-0.00376
3828.79464,-0.00373
3828.08665,-0.0037
3827.37866,-0.00367
3826.67067,-0.00364
3825.96269,-0.00362
3825.2547,-0.0036
3824.54671,-0.00357
3823.83873,-0.00356
3823.13074,-0.00354
3822.42275,-0.00353
3821.71476,-0.00352
3821.00678,-0.00352
3820.29879,-0.00351
3819.5908,-0.00351
3818.88282,-0.00351
3818.17483,-0.00351
3817.46684,-0.00352
3816.75885,-0.00352
3816.05087,-0.00352
3815.34288,-0.00352
3814.63489,-0.00352
3813.92691,-0.00352
3813.21892,-0.00351
3812.51093,-0.00351
3811.80294,-0.0035
3811.09496,-0.0035
3810.38697,-0.00349
3809.67898,-0.00349
3808.971,-0.00348
