X(Numero de onda),Y(Abs)
3998.71156,-0.00428
3998.00357,-0.00427
3997.29558,-0.00426
3996.5876,-0.00425
3995.87961,-0.00424
3995.17162,-0.00423
3994.46363,-0.00422
3993.75565,-0.00421
3993.04766,-0.0042
3992.33967,-0.00419
3991.63169,-0.00418
3990.9237,-0.00417
3990.21571,-0.00417
3989.50772,-0.00416
3988.79974,-0.00416
3988.09175,-0.00415
3987.38376,-0.00415
3986.67578,-0.00415
3985.96779,-0.00415
3985.2598,-0.00415
3984.55181,-0.00415
3983.84383,-0.00415
3983.13584,-0.00415
3982.42785,-0.00416
3981.71987,-0.00416
3981.01188,-0.00416
3980.30389,-0.00417
3979.5959,-0.00417
3978.88792,-0.00417
3978.17993,-0.00418
3977.47194,-0.00418
3976.76396,-0.00418
3976.05597,-0.00418
3975.34798,-0.00418
3974.63999,-0.00418
3973.93201,-0.00419
3973.22402,-0.00418
3972.51603,-0.00418
3971.80805,-0.00418
3971.10006,-0.00418
3970.39207,-0.00417
3969.68408,-0.00417
3968.9761,-0.00416
3968.26811,-0.00415
3967.56012,-0.00415
3966.85213,-0.00413
3966.14415,-0.00412
3965.43616,-0.00411
3964.72817,-0.00409
3964.02019,-0.00407
3963.3122,-0.00405
3962.60421,-0.00403
3961.89622,-0.004
3961.18824,-0.00397
3960.48025,-0.00394
3959.77226,-0.00391
3959.06428,-0.00388
3958.35629,-0.00384
3957.6483,-0.00381
3956.94031,-0.00377
3956.23233,-0.00373
3955.52434,-0.0037
3954.81635,-0.00366
3954.10837,-0.00362
3953.40038,-0.00358
3952.69239,-0.00355
3951.9844,-0.00352
3951.27642,-0.00348
3950.56843,-0.00345
3949.86044,-0.00343
3949.15246,-0.0034
3948.44447,-0.00338
3947.73648,-0.00336
3947.02849,-0.00334
3946.32051,-0.00332
3945.61252,-0.00331
3944.90453,-0.00329
3944.19655,-0.00328
3943.48856,-0.00327
3942.78057,-0.00326
3942.07258,-0.00325
3941.3646,-0.00324
3940.65661,-0.00323
3939.94862,-0.00321
3939.24064,-0.0032
3938.53265,-0.00318
3937.82466,-0.00316
3937.11667,-0.00314
3936.40869,-0.00311
3935.7007,-0.00308
3934.99271,-0.00306
3934.28472,-0.00302
3933.57674,-0.00299
3932.86875,-0.00296
3932.16076,-0.00293
3931.45278,-0.00289
3930.74479,-0.00286
3930.0368,-0.00283
3929.32881,-0.0028
3928.62083,-0.00278
3927.91284,-0.00276
3927.20485,-0.00274
3926.49687,-0.00273
3925.78888,-0.00272
3925.08089,-0.00272
3924.3729,-0.00272
3923.66492,-0.00272
3922.95693,-0.00273
3922.24894,-0.00275
3921.54096,-0.00276
3920.83297,-0.00278
3920.12498,-0.0028
