X(Numero de onda),Y(Abs)
3998.71156,-0.00127
3998.00357,-0.00128
3997.29558,-0.0013
3996.5876,-0.00131
3995.87961,-0.00132
3995.17162,-0.00133
3994.46363,-0.00134
3993.75565,-0.00135
3993.04766,-0.00136
3992.33967,-0.00136
3991.63169,-0.00137
3990.9237,-0.00138
3990.21571,-0.00138
3989.50772,-0.00138
3988.79974,-0.00138
3988.09175,-0.00138
3987.38376,-0.00137
3986.67578,-0.00137
3985.96779,-0.00136
3985.2598,-0.00136
3984.55181,-0.00135
3983.84383,-0.00134
3983.13584,-0.00133
3982.42785,-0.00132
3981.71987,-0.00132
3981.01188,-0.00131
3980.30389,-0.0013
3979.5959,-0.00129
3978.88792,-0.00129
3978.17993,-0.00128
3977.47194,-0.00128
3976.76396,-0.00128
3976.05597,-0.00128
3975.34798,-0.00128
3974.63999,-0.00128
3973.93201,-0.00128
3973.22402,-0.00128
3972.51603,-0.00128
3971.80805,-0.00129
3971.10006,-0.00129
3970.39207,-0.00129
3969.68408,-0.00129
3968.9761,-0.00129
3968.26811,-0.00129
3967.56012,-0.00129
3966.85213,-0.00129
3966.14415,-0.00129
3965.43616,-0.00129
3964.72817,-0.00129
3964.02019,-0.00129
3963.3122,-0.00129
3962.60421,-0.00129
3961.89622,-0.00129
3961.18824,-0.00129
3960.48025,-0.00129
3959.77226,-0.00129
3959.06428,-0.00129
3958.35629,-0.00129
3957.6483,-0.00129
3956.94031,-0.0013
3956.23233,-0.0013
3955.52434,-0.0013
3954.81635,-0.0013
3954.10837,-0.0013
3953.40038,-0.0013
3952.69239,-0.0013
3951.9844,-0.0013
3951.27642,-0.0013
3950.56843,-0.0013
3949.86044,-0.0013
3949.15246,-0.0013
3948.44447,-0.0013
3947.73648,-0.00131
3947.02849,-0.00131
3946.32051,-0.00131
3945.61252,-0.00131
3944.90453,-0.00132
3944.19655,-0.00132
3943.48856,-0.00133
3942.78057,-0.00133
3942.07258,-0.00134
3941.3646,-0.00135
3940.65661,-0.00136
3939.94862,-0.00137
3939.24064,-0.00138
3938.53265,-0.00139
3937.82466,-0.0014
3937.11667,-0.00141
3936.40869,-0.00142
3935.7007,-0.00144
3934.99271,-0.00145
3934.28472,-0.00146
3933.57674,-0.00147
3932.86875,-0.00148
3932.16076,-0.00149
3931.45278,-0.0015
3930.74479,-0.0015
3930.0368,-0.00151
3929.32881,-0.00151
3928.62083,-0.00152
3927.91284,-0.00152
3927.20485,-0.00152
3926.49687,-0.00151
3925.78888,-0.00151
3925.08089,-0.0015
3924.3729,-0.0015
3923.66492,-0.00149
3922.95693,-0.00148
3922.24894,-0.00147
3921.54096,-0.00146
3920.83297,-0.00145
3920.12498,-0.00144
3919.41699,-0.00142
3918.70901,-0.00141
3918.00102,-0.0014
3917.29303,-0.00139
3916.58505,-0.00138
3915.87706,-0.00136
3915.16907,-0.00135
3914.46108,-0.00134
3913.7531,-0.00133
3913.04511,-0.00133
3912.33712,-0.00132
3911.62914,-0.00131
3910.92115,-0.00131
3910.21316,-0.00131
3909.50517,-0.00131
3908.79719,-0.00131
3908.0892,-0.00132
3907.38121,-0.00132
3906.67323,-0.00133
3905.96524,-0.00134
3905.25725,-0.00135
3904.54926,-0.00136
3903.84128,-0.00138
3903.13329,-0.00139
3902.4253,-0.00141
3901.71731,-0.00143
3901.00933,-0.00144
3900.30134,-0.00146
3899.59335,-0.00148
3898.88537,-0.00149
3898.17738,-0.00151
3897.46939,-0.00152
3896.7614,-0.00153
3896.05342,-0.00154
3895.34543,-0.00154
3894.63744,-0.00155
3893.92946,-0.00155
3893.22147,-0.00156
3892.51348,-0.00156
3891.80549,-0.00156
3891.09751,-0.00156
3890.38952,-0.00156
3889.68153,-0.00156
3888.97355,-0.00156
3888.26556,-0.00157
3887.55757,-0.00157
3886.84958,-0.00157
3886.1416,-0.00157
3885.43361,-0.00158
3884.72562,-0.00158
3884.01764,-0.00159
3883.30965,-0.00159
3882.60166,-0.0016
3881.89367,-0.0016
3881.18569,-0.00161
3880.4777,-0.00161
3879.76971,-0.00162
3879.06173,-0.00162
3878.35374,-0.00163
3877.64575,-0.00164
3876.93776,-0.00165
3876.22978,-0.00165
3875.52179,-0.00166
3874.8138,-0.00167
3874.10582,-0.00168
3873.39783,-0.00169
3872.68984,-0.00169
3871.98185,-0.0017
3871.27387,-0.00171
3870.56588,-0.00172
3869.85789,-0.00173
3869.1499,-0.00174
3868.44192,-0.00175
3867.73393,-0.00176
3867.02594,-0.00177
3866.31796,-0.00178
3865.60997,-0.00179
3864.90198,-0.00179
3864.19399,-0.0018
3863.48601,-0.00181
3862.77802,-0.00181
3862.07003,-0.00182
3861.36205,-0.00183
3860.65406,-0.00183
3859.94607,-0.00184
3859.23808,-0.00184
3858.5301,-0.00184
3857.82211,-0.00185
3857.11412,-0.00185
3856.40614,-0.00185
3855.69815,-0.00186
3854.99016,-0.00186
3854.28217,-0.00186
3853.57419,-0.00186
3852.8662,-0.00186
3852.15821,-0.00186
3851.45023,-0.00185
3850.74224,-0.00185
3850.03425,-0.00184
3849.32626,-0.00184
3848.61828,-0.00183
3847.91029,-0.00183
3847.2023,-0.00182
3846.49432,-0.00182
3845.78633,-0.00181
3845.07834,-0.00181
3844.37035,-0.00181
3843.66237,-0.0018
3842.95438,-0.0018
3842.24639,-0.00181
3841.53841,-0.00181
3840.83042,-0.00181
3840.12243,-0.00182
3839.41444,-0.00182
3838.70646,-0.00183
3837.99847,-0.00184
3837.29048,-0.00185
3836.58249,-0.00185
3835.87451,-0.00186
3835.16652,-0.00187
3834.45853,-0.00187
3833.75055,-0.00188
3833.04256,-0.00188
3832.33457,-0.00188
3831.62658,-0.00188
3830.9186,-0.00188
3830.21061,-0.00188
3829.50262,-0.00187
3828.79464,-0.00187
3828.08665,-0.00186
3827.37866,-0.00186
3826.67067,-0.00185
3825.96269,-0.00184
3825.2547,-0.00183
3824.54671,-0.00183
3823.83873,-0.00182
3823.13074,-0.00181
3822.42275,-0.0018
3821.71476,-0.0018
3821.00678,-0.00179
3820.29879,-0.00179
3819.5908,-0.00178
3818.88282,-0.00178
3818.17483,-0.00178
3817.46684,-0.00178
3816.75885,-0.00178
3816.05087,-0.00179
3815.34288,-0.00179
3814.63489,-0.0018
3813.92691,-0.00181
3813.21892,-0.00182
3812.51093,-0.00183
3811.80294,-0.00184
3811.09496,-0.00186
3810.38697,-0.00187
3809.67898,-0.00188
3808.971,-0.0019
3808.26301,-0.00191
3807.55502,-0.00193
3806.84703,-0.00194
3806.13905,-0.00195
3805.43106,-0.00196
3804.72307,-0.00197
3804.01508,-0.00198
3803.3071,-0.00198
3802.59911,-0.00198
3801.89112,-0.00198
3801.18314,-0.00198
3800.47515,-0.00197
3799.76716,-0.00196
3799.05917,-0.00195
3798.35119,-0.00194
3797.6432,-0.00192
3796.93521,-0.00191
3796.22723,-0.00189
3795.51924,-0.00187
3794.81125,-0.00185
3794.10326,-0.00183
3793.39528,-0.00181
3792.68729,-0.00179
3791.9793,-0.00177
3791.27132,-0.00175
3790.56333,-0.00174
3789.85534,-0.00172
3789.14735,-0.00171
3788.43937,-0.00169
3787.73138,-0.00168
3787.02339,-0.00167
3786.31541,-0.00166
3785.60742,-0.00165
3784.89943,-0.00165
3784.19144,-0.00164
3783.48346,-0.00164
3782.77547,-0.00164
3782.06748,-0.00164
3781.3595,-0.00164
3780.65151,-0.00164
3779.94352,-0.00165
3779.23553,-0.00165
3778.52755,-0.00166
3777.81956,-0.00167
3777.11157,-0.00168
3776.40359,-0.00169
3775.6956,-0.0017
3774.98761,-0.00171
3774.27962,-0.00173
3773.57164,-0.00174
3772.86365,-0.00176
3772.15566,-0.00178
3771.44767,-0.0018
3770.73969,-0.00181
3770.0317,-0.00183
3769.32371,-0.00185
3768.61573,-0.00187
3767.90774,-0.00189
3767.19975,-0.00191
3766.49176,-0.00193
3765.78378,-0.00194
3765.07579,-0.00196
3764.3678,-0.00198
3763.65982,-0.00199
3762.95183,-0.002
3762.24384,-0.00202
3761.53585,-0.00203
3760.82787,-0.00204
3760.11988,-0.00205
3759.41189,-0.00206
3758.70391,-0.00207
3757.99592,-0.00208
3757.28793,-0.00208
3756.57994,-0.00209
3755.87196,-0.0021
3755.16397,-0.0021
3754.45598,-0.00211
3753.748,-0.00211
3753.04001,-0.00211
3752.33202,-0.00211
3751.62403,-0.00211
3750.91605,-0.00211
3750.20806,-0.00211
3749.50007,-0.00211
3748.79209,-0.0021
3748.0841,-0.0021
3747.37611,-0.00209
3746.66812,-0.00209
3745.96014,-0.00208
3745.25215,-0.00207
3744.54416,-0.00207
3743.83618,-0.00206
3743.12819,-0.00205
3742.4202,-0.00204
3741.71221,-0.00203
3741.00423,-0.00202
3740.29624,-0.00201
3739.58825,-0.002
3738.88026,-0.00199
3738.17228,-0.00197
3737.46429,-0.00196
3736.7563,-0.00195
3736.04832,-0.00193
3735.34033,-0.00192
3734.63234,-0.00191
3733.92435,-0.00189
3733.21637,-0.00188
3732.50838,-0.00187
3731.80039,-0.00186
3731.09241,-0.00185
3730.38442,-0.00184
3729.67643,-0.00183
3728.96844,-0.00183
3728.26046,-0.00182
3727.55247,-0.00182
3726.84448,-0.00182
3726.1365,-0.00183
3725.42851,-0.00183
3724.72052,-0.00184
3724.01253,-0.00185
3723.30455,-0.00187
3722.59656,-0.00189
3721.88857,-0.00191
3721.18059,-0.00193
3720.4726,-0.00195
3719.76461,-0.00197
3719.05662,-0.002
3718.34864,-0.00203
3717.64065,-0.00205
3716.93266,-0.00208
3716.22468,-0.00211
3715.51669,-0.00213
3714.8087,-0.00216
3714.10071,-0.00218
3713.39273,-0.0022
3712.68474,-0.00221
3711.97675,-0.00223
3711.26877,-0.00224
3710.56078,-0.00224
3709.85279,-0.00225
3709.1448,-0.00225
3708.43682,-0.00225
3707.72883,-0.00225
3707.02084,-0.00224
3706.31285,-0.00224
3705.60487,-0.00223
3704.89688,-0.00222
3704.18889,-0.00222
3703.48091,-0.00221
3702.77292,-0.00221
3702.06493,-0.00221
3701.35694,-0.00221
3700.64896,-0.00221
3699.94097,-0.00222
3699.23298,-0.00223
3698.525,-0.00224
3697.81701,-0.00226
3697.10902,-0.00228
3696.40103,-0.00231
3695.69305,-0.00234
3694.98506,-0.00237
3694.27707,-0.00241
3693.56909,-0.00245
3692.8611,-0.00249
3692.15311,-0.00253
3691.44512,-0.00258
3690.73714,-0.00263
3690.02915,-0.00268
3689.32116,-0.00273
3688.61318,-0.00279
3687.90519,-0.00285
3687.1972,-0.00291
3686.48921,-0.00297
3685.78123,-0.00303
3685.07324,-0.00309
3684.36525,-0.00315
3683.65727,-0.00321
3682.94928,-0.00327
3682.24129,-0.00333
3681.5333,-0.00339
3680.82532,-0.00345
3680.11733,-0.00351
3679.40934,-0.00357
3678.70136,-0.00363
3677.99337,-0.00368
3677.28538,-0.00374
3676.57739,-0.00379
3675.86941,-0.00384
3675.16142,-0.00389
3674.45343,-0.00393
3673.74544,-0.00397
3673.03746,-0.00401
3672.32947,-0.00405
3671.62148,-0.00408
3670.9135,-0.00412
3670.20551,-0.00415
3669.49752,-0.00418
3668.78953,-0.00421
3668.08155,-0.00424
3667.37356,-0.00427
3666.66557,-0.0043
3665.95759,-0.00434
